"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"226",19,19,"F","Contrôle","B","neutral_2","Front",1,5,"neutral",0,2,1,-1
"227",19,19,"F","Contrôle","B","neutral_3","Quasiment pleine",1,2,"neutral",0,2,1,-1
"228",19,19,"F","Contrôle","B","neutral_4","Tête",1,3,"neutral",0,2,1,-1
"229",20,18,"F","Contrôle","B","leading_1","Police",1,1,"leading",0,2,1,1
"230",20,18,"F","Contrôle","B","leading_2","2ème étage",0,2,"leading",0,2,1,1
"231",20,18,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"232",20,18,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"233",20,18,"F","Contrôle","B","misleading_1","Femme",0,5,"misleading",0,2,-2,0
"234",20,18,"F","Contrôle","B","misleading_2","menaces d'attentat",0,4,"misleading",0,2,-2,0
"235",20,18,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"236",20,18,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"237",20,18,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"238",20,18,"F","Contrôle","B","neutral_2","Front",1,4,"neutral",0,2,1,-1
"239",20,18,"F","Contrôle","B","neutral_3","Quasiment pleine",1,1,"neutral",0,2,1,-1
"240",20,18,"F","Contrôle","B","neutral_4","Tête",1,5,"neutral",0,2,1,-1
"241",21,18,"F","Contrôle","B","leading_1","Police",1,4,"leading",0,2,1,1
"242",21,18,"F","Contrôle","B","leading_2","1er étage",1,1,"leading",0,2,1,1
"243",21,18,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"244",21,18,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"245",21,18,"F","Contrôle","B","misleading_1","Femme",0,3,"misleading",0,2,-2,0
"246",21,18,"F","Contrôle","B","misleading_2","menaces d'assassinat",1,2,"misleading",0,2,-2,0
"247",21,18,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"248",21,18,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"249",21,18,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"250",21,18,"F","Contrôle","B","neutral_2","Front",1,3,"neutral",0,2,1,-1
"251",21,18,"F","Contrôle","B","neutral_3","Quasiment pleine",1,1,"neutral",0,2,1,-1
"252",21,18,"F","Contrôle","B","neutral_4","Tête",1,5,"neutral",0,2,1,-1
"253",22,18,"F","Contrôle","B","leading_1","Journalistes",0,4,"leading",0,2,1,1
"254",22,18,"F","Contrôle","B","leading_2","1er étage",1,3,"leading",0,2,1,1
"255",22,18,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"256",22,18,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"257",22,18,"F","Contrôle","B","misleading_1","Femme",0,3,"misleading",0,2,-2,0
"258",22,18,"F","Contrôle","B","misleading_2","menaces d'assassinat",1,2,"misleading",0,2,-2,0
"259",22,18,"F","Contrôle","B","misleading_3","salle",1,4,"misleading",0,2,-2,0
"260",22,18,"F","Contrôle","B","misleading_4","renversé",0,4,"misleading",0,2,-2,0
"261",22,18,"F","Contrôle","B","neutral_1","3",1,2,"neutral",0,2,1,-1
"262",22,18,"F","Contrôle","B","neutral_2","Front",1,1,"neutral",0,2,1,-1
"263",22,18,"F","Contrôle","B","neutral_3","Quasiment pleine",1,1,"neutral",0,2,1,-1
